base_lr,max_lr,step_size_up,step_size_down,fflayers,ffdropout,activation_function,weight_decay,id,model-name,train-loss,valid-loss,train-content-loss,valid-content-loss,train-wording-loss,valid-wording-loss,best-valid-loss,elapsed-time,epochs
4e-06,0.001,500,1000,3,0.3,relu,0.001,0,microsoft/deberta-v3-large,0.44044627179144363,0.48033545373214614,0.37602007389068604,0.420193076133728,0.5048725605010986,0.5404779314994812,0.47221018978291085,6503.429167509079,54
1e-05,0.0001,1500,500,3,0.05,relu,0.03,1,microsoft/deberta-v3-large,0.38482787056468504,0.4661766572958893,0.32914355397224426,0.3978116810321808,0.4405122995376587,0.5345414280891418,0.4643680889573362,12008.764915704727,100
1e-05,0.0004,500,500,3,0.3,relu,0.03,2,microsoft/deberta-v3-large,0.428653953808935,0.4814917215870486,0.3662673532962799,0.41560474038124084,0.49104052782058716,0.5473785400390625,0.47089719962742593,9995.867555618286,84
1e-05,0.001,1500,1000,3,0.05,relu,0.02,3,microsoft/deberta-v3-large,0.39376060838764465,0.48396511872609455,0.33592551946640015,0.4237537980079651,0.4515951871871948,0.5441762804985046,0.46682649014724625,6083.636945724487,50
1e-05,0.001,1000,500,3,0.05,relu,0.02,4,microsoft/deberta-v3-large,0.3736806243929407,0.47869330023725826,0.32160672545433044,0.4063586890697479,0.4257541000843048,0.5510278344154358,0.4663889478478167,7096.538010597229,59
4e-06,0.0001,500,500,3,0.05,relu,0.001,5,microsoft/deberta-v3-large,0.3886525314386047,0.48629107508394454,0.33291953802108765,0.4216315448284149,0.44438526034355164,0.5509508848190308,0.46465340778231623,11498.189621925354,95
1e-05,0.0004,1000,1000,3,0.05,relu,0.03,6,microsoft/deberta-v3-large,0.4035681231973385,0.4972227270404498,0.34229224920272827,0.4255998432636261,0.4648439884185791,0.5688456296920776,0.46532740087972746,7200.736919641495,59
4e-06,0.001,1000,500,3,0.05,relu,0.01,7,microsoft/deberta-v3-large,0.3666451976765993,0.4926009350352817,0.31758928298950195,0.4035588800907135,0.4157012701034546,0.5816431045532227,0.46446544834309156,7513.34200501442,62
1e-06,0.0001,1500,500,3,0.05,relu,0.01,8,microsoft/deberta-v3-large,0.44652834946179426,0.4827846792836984,0.37000274658203125,0.4024861454963684,0.5230541229248047,0.5630829930305481,0.4827846792836984,14909.660130023956,100
1e-06,0.0004,1000,1000,3,0.3,relu,0.02,9,microsoft/deberta-v3-large,0.45358657287447873,0.47888594882355795,0.3877352178096771,0.40448981523513794,0.5194383263587952,0.5532822608947754,0.4744615142544111,11455.359843969345,93
1e-05,0.0001,1000,500,3,0.05,relu,0.001,10,microsoft/deberta-v3-large,0.37318460503098455,0.46670286158720653,0.3203538954257965,0.3996915817260742,0.4260154664516449,0.5337142944335938,0.4660361848771572,12207.828472614288,100
1e-05,0.001,1000,1500,3,0.05,relu,0.001,11,microsoft/deberta-v3-large,0.3637413134479016,0.48615954592823984,0.3125196099281311,0.4010861814022064,0.4149632453918457,0.571232795715332,0.4643357593152258,6827.1454927921295,56
1e-05,0.0004,500,1500,3,0.05,relu,0.03,12,microsoft/deberta-v3-large,0.40438313241793644,0.4751691683299012,0.3463306427001953,0.41266515851020813,0.46243560314178467,0.5376731753349304,0.4694670968585544,5501.456391334534,45
1e-06,0.001,500,1000,3,0.05,relu,0.001,13,microsoft/deberta-v3-large,0.39630490923597167,0.4906381698946158,0.3428233563899994,0.4244300127029419,0.4497862160205841,0.556846559047699,0.4644598359035121,5020.304144144058,41
1e-06,0.0004,500,1500,3,0.05,relu,0.03,14,microsoft/deberta-v3-large,0.3999329813740503,0.4791485982636611,0.3406415283679962,0.3999887704849243,0.459224671125412,0.5583085417747498,0.4689266521897581,6858.821424245834,55
1e-08,1e-07,500,1500,3,0.05,relu,0.001,0,microsoft/deberta-v3-large,0.9550584550149885,0.9661148390836186,0.9384834170341492,0.9382805228233337,0.9716330766677856,0.993949294090271,0.9661148390836186,13207.379692792892,100
2e-08,1e-07,500,1500,3,0.05,relu,0.001,1,microsoft/deberta-v3-large,0.9547345571796522,0.9643724221322272,0.9393141269683838,0.9387558102607727,0.9701549410820007,0.9899896383285522,0.9643724221322272,13308.324930667877,100
2e-08,1e-07,1000,1000,3,0.05,relu,0.001,2,microsoft/deberta-v3-large,0.9587283286411592,0.9692900255322456,0.9447228908538818,0.9434849619865417,0.9727339744567871,0.995095431804657,0.9692900255322456,13369.512986660004,100
2e-08,1e-07,500,1500,3,0.05,relu,0.03,3,microsoft/deberta-v3-large,0.9547006391067968,0.9666429926951726,0.9357216358184814,0.9356114268302917,0.973679780960083,0.9976745843887329,0.9666429926951726,13297.680218935013,100
